report_date,location,zika_confirmed
2016-01-09,Colombia-Bogota-Chapinero_Chico_Lago,0
2016-01-09,Colombia-Bogota-Ciudad_Bolivar_San_Francisco,0
2016-01-09,Colombia-Bogota-Engativa_Engativa,0
2016-01-09,Colombia-Bogota-Fontibon_Fontibon,0
2016-01-09,Colombia-Bogota-Kennedy_Americas,0
2016-01-09,Colombia-Bogota-Kennedy_Kennedy_Central,0
2016-01-09,Colombia-Bogota-La_Candelaria_La_Candelaria,0
2016-01-09,Colombia-Bogota-Puente_Aranda_San_Rafael,0
2016-01-09,Colombia-Bogota-San_Cristobal_Sociego,0
2016-01-09,Colombia-Bogota-Teusaquillo_Ciudad_Salitre_Oriental,0
2016-01-09,Colombia-Bogota-Teusaquillo_La_Esmeralda,0
2016-01-09,Colombia-Bogota-Teusaquillo_Quinta_Paredes,0
2016-01-09,Colombia-Bogota-Teusaquillo_Teusaquillo,0
2016-01-09,Colombia-Bogota-Tunjuelito_Tunjuelito,0
2016-01-09,Colombia-Bogota-Tunjuelito_Venecia,0
2016-01-09,Colombia-Bogota-Usaquen_Los_Cedros,0
2016-01-09,Colombia-Bogota-Usaquen_Santa_Barbara,0
2016-01-09,Colombia-Bolivar-Achi,0
2016-01-09,Colombia-Bolivar-Altos_Del_Rosario,0
2016-01-09,Colombia-Bolivar-Arenal,0
2016-01-09,Colombia-Bolivar-Arjona,1
2016-01-09,Colombia-Bolivar-Arroyohondo,0
2016-01-09,Colombia-Bolivar-Barranco_De_Loba,0
2016-01-09,Colombia-Bolivar-Calamar,0
2016-01-09,Colombia-Bolivar-Cantagallo,0
2016-01-09,Colombia-Bolivar-Cicuco,0
2016-01-09,Colombia-Bolivar-Clemencia,0
2016-01-09,Colombia-Bolivar-Cordoba,1
2016-01-09,Colombia-Bolivar-El_Carmen_De_Bolivar,1
2016-01-09,Colombia-Bolivar-El_Guamo,0
2016-01-09,Colombia-Bolivar-El_Penon,0
2016-01-09,Colombia-Bolivar-Hatillo_De_Loba,0
2016-01-09,Colombia-Bolivar-Magangue,1
2016-01-09,Colombia-Bolivar-Mahates,0
2016-01-09,Colombia-Bolivar-Margarita,0
2016-01-09,Colombia-Bolivar-Maria_La_Baja,1
2016-01-09,Colombia-Bolivar-Mompos,0
2016-01-09,Colombia-Bolivar-Montecristo,0
2016-01-09,Colombia-Bolivar-Morales,0
2016-01-09,Colombia-Bolivar-Norosi,0
2016-01-09,Colombia-Bolivar-Pinillos,0
2016-01-09,Colombia-Bolivar-Regidor,0
2016-01-09,Colombia-Bolivar-Rio_Viejo,1
2016-01-09,Colombia-Bolivar-San_Cristobal,0
2016-01-09,Colombia-Bolivar-San_Estanislao,0
2016-01-09,Colombia-Bolivar-San_Fernando,0
2016-01-09,Colombia-Bolivar-San_Jacinto,1
2016-01-09,Colombia-Bolivar-San_Jacinto_Del_Cauca,0
2016-01-09,Colombia-Bolivar-San_Juan_Nepomuceno,1
2016-01-09,Colombia-Bolivar-San_Martin_De_Loba,0
2016-01-09,Colombia-Bolivar-San_Pablo,0
2016-01-09,Colombia-Bolivar-Santa_Catalina,0
2016-01-09,Colombia-Bolivar-Santa_Rosa,1
2016-01-09,Colombia-Bolivar-Santa_Rosa_Del_Sur,1
2016-01-09,Colombia-Bolivar-Simiti,0
2016-01-09,Colombia-Bolivar-Soplaviento,0
2016-01-09,Colombia-Bolivar-Talaigua_Nuevo,0
2016-01-09,Colombia-Bolivar-Tiquisio,0
2016-01-09,Colombia-Bolivar-Turbaco,1
2016-01-09,Colombia-Bolivar-Turbana,0
2016-01-09,Colombia-Bolivar-Unknown,1
2016-01-09,Colombia-Bolivar-Villanueva,0
2016-01-09,Colombia-Bolivar-Zambrano,0
2016-01-09,Colombia-Boyaca-Almeida,0
2016-01-09,Colombia-Boyaca-Aquitania,0
2016-01-09,Colombia-Boyaca-Arcabuco,0
2016-01-09,Colombia-Boyaca-Belen,0
2016-01-09,Colombia-Boyaca-Berbeo,0
2016-01-09,Colombia-Boyaca-Beteitiva,0
2016-01-09,Colombia-Boyaca-Boavita,0
2016-01-09,Colombia-Boyaca-Boyaca,0
2016-01-09,Colombia-Boyaca-Briceno,0
2016-01-09,Colombia-Boyaca-Buenavista,0
2016-01-09,Colombia-Boyaca-Busbanza,0
2016-01-09,Colombia-Boyaca-Caldas,0
2016-01-09,Colombia-Boyaca-Campohermoso,1
2016-01-09,Colombia-Boyaca-Cerinza,0
2016-01-09,Colombia-Boyaca-Chinavita,0
2016-01-09,Colombia-Boyaca-Chiquinquira,0
2016-01-09,Colombia-Boyaca-Chiquiza,0
2016-01-09,Colombia-Boyaca-Chiscas,0
2016-01-09,Colombia-Boyaca-Chita,0
2016-01-09,Colombia-Boyaca-Chitaraque,1
2016-01-09,Colombia-Boyaca-Chivata,0
2016-01-09,Colombia-Boyaca-Chivor,0
2016-01-09,Colombia-Boyaca-Cienega,0
2016-01-09,Colombia-Boyaca-Combita,0
2016-01-09,Colombia-Boyaca-Coper,0
2016-01-09,Colombia-Boyaca-Corrales,0
2016-01-09,Colombia-Boyaca-Covarachia,0
2016-01-09,Colombia-Boyaca-Cubara,0
2016-01-09,Colombia-Boyaca-Cucaita,0
2016-01-09,Colombia-Boyaca-Cuitiva,0
2016-01-09,Colombia-Boyaca-Duitama,0
2016-01-09,Colombia-Boyaca-El_Cocuy,0
2016-01-09,Colombia-Boyaca-El_Espino,0
2016-01-09,Colombia-Boyaca-Firavitoba,0
2016-01-09,Colombia-Boyaca-Floresta,0
2016-01-09,Colombia-Boyaca-Gachantiva,0
2016-01-09,Colombia-Boyaca-Gameza,0
